latitude_x,longitude_x,dist_to_river_km_x,elevation_x,system:index,bio04,bio12,dist_to_river_km_y,elevation_y,elevation_ee,soil_ph,latitude_y,longitude_y,label
-9.414981001527874,-58.23257799829364,0.9075875299646204,0,0000000000000000000e_0,542.0,2082.0,0.9075875299646204,0,206,45,-9.415429599402302,-58.2322403434937,1
-9.704700999704704,-57.87715100034933,0.5006674749119389,0,0000000000000000000f_0,537.0,2085.0,0.5006674749119389,0,235,45,-9.705136278530844,-57.877405806266495,1
-9.365031001358474,-59.2404520017935,0.7649967633929088,0,00000000000000000010_0,468.0,2067.0,0.7649967633929088,0,150,43,-9.366022258775729,-59.240599249917864,1
-9.243020999238867,-58.85661900020667,0.7274616271077637,0,00000000000000000011_0,482.0,2091.0,0.7274616271077637,0,235,45,-9.242503907209297,-58.85656946595677,1
-9.241628999418335,-58.85914800071054,0.6033939170779128,0,00000000000000000012_0,497.0,2090.0,0.6033939170779128,0,234,45,-9.242503907209297,-58.85881525416707,1
-9.8467030003105,-59.8074800009136,0.8582449052495398,0,00000000000000000013_0,483.0,1975.0,0.8582449052495398,0,186,47,-9.846620935779669,-59.80653787891316,1
-9.613941999660652,-60.20088499978919,0.5631262881554404,0,00000000000000000014_0,482.0,1991.0,0.5631262881554404,0,134,43,-9.613058961908592,-60.20179660392576,1
-9.924597002087832,-58.51245599936688,1.1657635816920298,0,00000000000000000015_0,539.0,1977.0,1.1657635816920298,0,249,46,-9.925223523140133,-58.51296386978106,1
-9.281117000042498,-58.9043730000573,0.7609530921752754,0,00000000000000000016_0,490.0,2082.0,0.7609530921752754,0,238,47,-9.280682306784371,-58.90373101837305,1
-9.323169999335253,-58.89591599966301,1.3976221101270452,0,00000000000000000017_0,484.0,2075.0,1.3976221101270452,0,259,45,-9.32335228278005,-58.89699365374216,1
-9.30271800053074,-59.09867999999115,0.4042062011683026,0,00000000000000000018_0,485.0,2079.0,0.4042062011683026,0,146,44,-9.303140188887355,-59.09911459266904,1
-9.42689900119821,-59.75004499929961,0.3120998492216849,0,00000000000000000019_0,487.0,2055.0,0.3120998492216849,0,173,43,-9.426658540453786,-59.750393173655695,1
-9.244746999876403,-58.8577110010576,0.5470070297192267,0,0000000000000000001a_0,497.0,2090.0,0.5470070297192267,0,235,44,-9.244749695419586,-58.85881525416707,1
-9.430179999080288,-59.1691609987875,0.3524224798574853,0,0000000000000000001b_0,479.0,2054.0,0.3524224798574853,0,158,46,-9.431150116874392,-59.16873402718831,1
-9.211542000260826,-58.93467100054576,0.9863852613970038,0,0000000000000000001c_0,489.0,2096.0,0.9863852613970038,0,176,46,-9.211062872265103,-58.93517205331723,1
-9.631255998711795,-59.09539099992355,0.7067402637253564,0,0000000000000000001d_0,474.0,2015.0,0.7067402637253564,0,259,48,-9.631025267590985,-59.09462301624845,1
-9.513087999238486,-58.00656999992691,3.0035662262197835,0,0000000000000000001e_0,508.0,2092.0,3.0035662262197835,0,259,45,-9.511998492445144,-58.00766152246382,1
-9.923096997955035,-58.51001500044686,0.8762277531936099,0,0000000000000000001f_0,560.0,1978.0,0.8762277531936099,0,246,47,-9.92297773492983,-58.51071808157076,1
-9.0251149999835,-59.02210699986468,0.4609161409435218,0,00000000000000000033_0,467.0,2134.0,0.5272575641711621,0,131,44,-9.024662450810311,-59.02275779351889,1
-9.50629799991787,-59.81215099991498,1.854976230676332,0,00000000000000000021_0,462.0,2039.0,1.854976230676332,0,181,45,-9.50526112781425,-59.81102945533377,1
-9.967039001251123,-60.07850200104351,0.928572429842392,0,00000000000000000022_0,450.0,1948.0,0.928572429842392,0,148,44,-9.967893499135812,-60.078278252359326,1
-10.02997399999316,-58.57753499845309,1.094894722353056,0,00000000000000000023_0,549.0,1974.0,1.094894722353056,0,234,46,-10.030775569024172,-58.57809172787972,1
-10.65452600001631,-58.42730900092188,0.776682296692842,0,00000000000000000024_0,622.0,1837.0,0.776682296692842,0,247,46,-10.655104691487239,-58.4276239177897,1
