system:index,bio04,bio12,dist_to_river_km,elevation,elevation_ee,soil_ph,.geo
00000000000000000045_0,569.0,2023.0,0.47415427193632353,0,208,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.149146179712645,-9.747806254526523]}"
00000000000000000046_0,569.0,2023.0,0.6288702085055963,0,208,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.149146179712645,-9.747806254526523]}"
00000000000000000047_0,569.0,2070.0,0.2551615905702709,0,240,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.91782999405187,-9.754543619157417]}"
00000000000000000048_0,557.0,2167.0,0.5981332335238659,0,302,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.369857670738966,-9.424412752243498]}"
00000000000000000049_0,597.0,2116.0,0.9333970215214954,0,244,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.6752848673396,-9.864587241462061]}"
0000000000000000004a_0,597.0,2116.0,1.124646554930718,0,245,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.6752848673396,-9.862341453251759]}"
0000000000000000004b_0,460.0,2128.0,1.175228107145663,0,141,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.10585195729995,-9.051611909333886]}"
0000000000000000004c_0,501.0,2018.0,0.5309002455740058,0,114,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.45619491810656,-9.631025267590985]}"
0000000000000000004d_0,485.0,2079.0,0.38212524390968855,0,148,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.09911459266904,-9.300894400677066]}"
0000000000000000004e_0,502.0,2074.0,2.025739385351683,0,264,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.89025628911125,-9.318860706359445]}"
0000000000000000004f_0,703.0,1910.0,1.6761879070105614,0,159,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.19742687900653,-9.765772560208916]}"
00000000000000000050_0,703.0,1910.0,1.1786510495372087,0,156,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.19293530258594,-9.763526771998613]}"
00000000000000000051_0,688.0,1912.0,0.744228274516368,0,140,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.2670463135258,-9.7882304423119]}"
00000000000000000055_0,728.0,1901.0,1.8072862083246115,0,191,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.41302254719521,-10.071199756809548]}"
00000000000000000056_0,662.0,1900.0,1.19072916440279,0,140,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.17272320869324,-9.810688324414883]}"
00000000000000000057_0,697.0,1908.0,0.6913464839716468,0,152,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.40179360614373,-9.94992719345342]}"
00000000000000000058_0,689.0,1891.0,0.9138653257050953,0,152,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.16598584406235,-9.925223523140133]}"
0000000000000000005a_0,689.0,1896.0,1.0530596350683294,0,151,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.17946057332414,-9.896028276406241]}"
0000000000000000005c_0,682.0,1904.0,0.20673757856363942,0,137,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.12780744448727,-9.734331525264736]}"
0000000000000000005d_0,700.0,1913.0,0.5906191661450123,0,160,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.35687784193775,-9.866833029672364]}"
0000000000000000005f_0,716.0,1874.0,1.1612995110507272,0,169,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.18844372616533,-10.134081826697923]}"
00000000000000000060_0,791.0,1863.0,0.6873037806897658,0,178,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.41526833540551,-10.376626953410181]}"
00000000000000000062_0,711.0,1908.0,0.8434197534089767,0,152,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.4332346410879,-9.979122440187297]}"
00000000000000000066_0,681.0,1900.0,1.5461995970376952,0,164,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.17047742048294,-9.839883571148775]}"
0000000000000000006a_0,727.0,1867.0,0.8036865915224173,0,153,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.29848734846998,-10.25310860184375]}"
