system:index,bio04,bio12,elevation_ee,label,soil_ph,.geo
227_0,9711.0,630.0,210,0,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.833223091288716,54.77368902735811]}"
229_0,531.0,2435.0,170,0,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.33916273371318,-10.149802344170013]}"
236_0,3021.0,1273.0,1020,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.35920994959395,21.077882720034864]}"
240_0,7118.0,772.0,865,0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.343770607400046,45.35709906157523]}"
241_0,9878.0,699.0,279,0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[159.52163031528863,56.01111833123275]}"
242_0,2554.0,1331.0,348,0,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.26375270897364,-15.11973165356126]}"
248_0,1797.0,654.0,450,0,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.842206244129926,13.188428737255165]}"
255_0,9084.0,363.0,2092,0,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.81198372419948,35.99665380104982]}"
268_0,10782.0,582.0,99,0,52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.204524243906434,54.55135599453853]}"
274_0,1388.0,1785.0,85,0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.58838720963564,-12.195715403752217]}"
276_0,3578.0,438.0,966,0,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.08201068217133,-19.395712405970187]}"
303_0,791.0,374.0,614,0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[41.813132848897396,6.32305417837172]}"
310_0,1909.0,1095.0,1147,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.012764296611266,-10.183489167324495]}"
314_0,7504.0,197.0,2096,0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[56.57694454340174,28.875259386192305]}"
320_0,13399.0,170.0,297,0,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.9271581582519,47.33563847484847]}"
328_0,13398.0,313.0,1280,0,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.33799306586997,42.749738949418315]}"
333_0,11991.0,964.0,1140,0,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[135.8465310023186,45.93875820804262]}"
336_0,3721.0,234.0,360,0,73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-10.574368732742784,16.467279524291413]}"
356_0,7754.0,1457.0,472,0,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.75499910712259,35.92254279010995]}"
362_0,961.0,2783.0,12,0,53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[5.889504636957753,5.424738894252201]}"
364_0,2939.0,1715.0,1260,0,53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.36520121630645,23.981686875951212]}"
365_0,13786.0,395.0,1357,0,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.89070816306128,49.96321068089807]}"
366_0,8577.0,1093.0,275,0,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.26204484773444,36.63445765277467]}"
371_0,11378.0,425.0,678,0,68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.89759541679392,53.320664055294785]}"
387_0,6671.0,68.0,208,0,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[49.74974838409338,24.417369788749184]}"
389_0,2376.0,445.0,486,0,71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.71981453389617,11.517562308792847]}"
391_0,4387.0,132.0,241,0,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.869191234708978,17.668776216801277]}"
395_0,11741.0,589.0,459,0,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.9643167790855,41.04518569780152]}"
398_0,7778.0,151.0,96,0,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.9185480543699,29.272763899415196]}"
400_0,783.0,2727.0,204,0,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.90684475600312,1.175707600366863]}"
403_0,8307.0,69.0,619,0,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.10884578364863273,31.06265710302334]}"
405_0,11492.0,239.0,371,0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.07101045521239,44.687854174906185]}"
410_0,277.0,2648.0,58,0,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.06251470837668,-1.9055138241630942]}"
412_0,533.0,1507.0,306,0,52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.80017356324147,6.93840014799359]}"
413_0,4275.0,265.0,19,0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.61360076931965,-20.85322895445411]}"
416_0,2306.0,867.0,595,0,63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.06829224990679,10.803401657917831]}"
418_0,3724.0,632.0,371,0,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.62244708174933,-19.80444586024457]}"
425_0,8184.0,1493.0,461,0,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.64591724813869,27.999401984175776]}"
427_0,10276.0,935.0,226,0,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.92580086260666,40.80039478287895]}"
430_0,1697.0,944.0,930,0,57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.823887432633626,-16.038259031573475]}"
433_0,9155.0,105.0,4616,0,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.19539675619859,37.72815651119019]}"
437_0,3342.0,1646.0,231,0,53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.26168678768542,-24.879927215519857]}"
